job_title,company,location,job_description,skills,job_category
data scientist - alpha insights,"Two Sigma
4.4","new york, ny","two sigma is a different kind of investment manager. since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most challenging economic problems. our work spans across markets and industries, from insurance and securities to private investments and new ventures.

the alpha insights team at two sigma is looking for an entrepreneurial data scientist to contribute to its data-driven investment initiatives. alpha insights crowdsources the world’s investment insights and through such data creation we are an integral part of two sigma investment management process. we interact with people external to the firm to collect and analyze their investment insights through our web and mobile products.

data science in alpha insights has 3 missions: (1","world, data, markets, insights, investment",data scientist
data scientist,"Affinity Solutions
3.0","new york, ny","data scientist
affinity solutions / marketing cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. we hire the best and brightest and give them the opportunity to work on industry-leading technologies.
the data sciences team at afs/marketing cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. in this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. you'll access our core data asset and machine learning infrastructure to power your ideas.
duties and responsibilities
· support all clients model building needs, including maintaining and i","ll, ideas, power, tech, marketing",data scientist
"data scientist, analytics","Etsy
3.6","brooklyn, ny","company descriptionas an etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.job descriptiondata scientists at etsy use rigorous methods to generate insights that inform product, engineering, and business decisions across the company. we collaborate with partner teams through all stages of development: actively uncovering opportunity areas, crafting experiments to test hypotheses, analyzing the impact of our efforts, and highlighting takeaways.learning new skills and techniques is not only a requirement but a perk of the job! we are always looking for opportunities to grow. our mission is to guide our partner teams with data and insights and tell the story of how we attract and retain our users - to teams, to senior management, and to the community.we're hiring partners for a few key product teams, includ","insights, mission, impact, partner, teams",data scientist
data scientist/ml engineer,"PA Consulting
3.3","new york, ny","data scientist/ml engineer

apply now

become part of the team

do you crave a collaborative organization where your contributions will make a strong impact?

do you want to develop products in the latest cloud-based technologies building ecosystems rather than creating client-facing slides?

are you ready to roll up your sleeves and embrace a work culture that’s insanely passionate and committed to bringing the latest advanced analytics to life?

the data science & ai group at pa consulting is your dream community. as part of the fastest growing innovation practice within pa consulting, you will work with the latest advanced analytics, machine learning, and big data technologies to generate actionable insights from data and develop innovative data products. we focus on life science, healthcare, energy & utilities and cpg sectors and work with various data sets, from social media to public health data. our domain focus is broad and covers everything from computer vision and nlp, recomm","focus, consulting, data, pa, latest",data scientist
data scientist,"Etsy
3.6","new york, ny","job description
company description

as an etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.job description

data scientists at etsy use rigorous methods to generate insights that inform product, engineering, and business decisions across the company. we collaborate with partner teams through all stages of development: actively uncovering opportunity areas, crafting experiments to test hypotheses, analyzing the impact of our efforts, and highlighting takeaways.

learning new skills and techniques is not only a requirement but a perk of the job! we are always looking for opportunities to grow. our mission is to guide our partner teams with data and insights and tell the story of how we attract and retain our users — to teams, to senior management, and to the community.

we're hiring partners for a few k","mission, impact, description, partner, teams",data scientist
"vp, data science","7Park Data
3.9","new york, ny","we are looking for a vp, data science to lead all of our data science and r&d efforts to discover the information hidden in vast amounts of data, and help us build incredible data products. you will be joining other extremely passionate data science, product folks and engineers that share a common interest in distributed systems, performance, scale, and solving problems with software and data. our technologies power the insights for financial service and corporate giants.

compensation package includes highly competitive salary, bonus, equity interest and the valuable business experiences, challenges and excitement of a fast growing technology startup company.

responsibilities
lead, nurture and grow a very talented data science team
lead discovery processes with stakeholders to identify the product requirements and the expected outcome
manage multiple projects in parallel and oversee their completion from start to finish, setting goals and project milestones
conceptualize and plan lea","compensation, product, data, lead, science",other
"data scientist, disney+ personalization","Walt Disney Co.
4.0","new york, ny","job summary:comprised of disney's international media businesses and the company's various streaming services, the direct-to-consumer and international (dtci) segment aligns technology, content and distribution platforms to expand the company's global footprint and deliver world-class, personalized entertainment experiences to consumers around the world.the walt disney company's direct-to-consumer and international segment (dtci) is a global, multiplatform media, technology and distribution organization for high-quality content created by disney's studio entertainment and media networks groups.dtci includes disney's international media operations and the company's direct-to-consumer businesses globally, including the upcoming disney-branded direct-to-consumer streaming service, the company's ownership stake in hulu, and the espn+ sports streaming service, programmed in partnership with espn. bamtech media, developer of the espn+ and disney-branded streaming platforms, oversees all cons","direct, consumer, streaming, international, media",data scientist
"senior data scientist, data science operations","Squarespace
3.4","new york, ny","we’re looking for a senior data scientist who is passionate about the engineering side of data science. you will be joining a new data science operations team tasked with accelerating data science research and development through improved design and best practice adoption, as well as through tooling and processes.

you are a broad generalist. you enjoy collaborating with scientists to build software and to improve workflows. you appreciate all stages of data operations, from ingestion and transformation of data to use in statistical models and machine learning products. you will work primarily with data science teams to collaboratively build elegant, reusable domain-specific python libraries and services; and you will remove pain points and inefficiencies in development, feature creation, prototyping, and productionalization. you will also collaborate with data engineering and data platforms teams in pursuit of data science workflow improvements. you should excel in a culture of teachi","engineering, teams, operations, science, data",data scientist
quantitative researcher – intern (us),"Citadel Securities
4.1","new york, ny","job description

quantitative researchers at citadel securities apply advanced statistical techniques to complex data sets to model markets, test hypotheses, and create proprietary trading algorithms. as markets continuously evolve, quantitative researchers keep citadel securities at the forefront of the industry by constantly adapting models and strategies to identify market opportunities around the globe.

as an intern, you’ll get to challenge the impossible in research through an 11 week program that will allow you to collaborate and connect with senior team members and our ceo peng zhao. in addition, you’ll get the opportunity to network and socialize with peers at iconic venues.


your objectives:

conceptualize valuation strategies, develop and continuously improve upon mathematical models, and help translate algorithms into code
back test and implement trading models and signals in an active, live trading environment
use unconventional data sources to drive innovation
conduct re","quantitative, models, markets, researchers, trading",other
senior data engineer (healthcare domain experience required),"Enterprise Integration
3.4","new york, ny","key responsibilities

- architect, build, and maintain efficient data pipelines, utilizing a variety of data access technologies (rest apis, ftp, sql, s3)

- work with analytics team to help with automating reporting needs leveraging various solutions like rest apis or bi tools

- end-to-end development, starting from requirements gathering with stakeholders to deployment to production systems

- lead greenfield development of innovative applications, analysis, and systems

- contribute to development of a rapidly growing, integrated datawarehouse that will provide a complete vision of the entire healthcare landscape

- work with large, alternative datasets (100s of millions of data points) to extract insights and proactively monitor trends

minimum qualifications

· advanced sql knowledge

· proficient in object-oriented development (c#, java, etc)

· proficient in creating rest web services using c#/python/node

· experience working with large data sets (50+ million rows)

· ability ","sql, end, development, proficient, apis",data engineer
data scientist,"WITHIN
4.4","new york, ny","job description
what does within do?

we are performance branding experts. within works with some of the coolest brands and hottest startups, including nike, ab inbev, spanx and shake shack. we leverage digital channels and inspiring creative to fuel clients' growth using data every step of the way to drive our decision making.

what you will build as a data scientist at within...
you will cross-functionally collaborate with the performance and creative teams to understand our business then build machine-learning models to uncover trends and optimize performance
you will build scalable clustering, customer lifetime value, and churn models to help clients maximize long-term profitability
you will build and maintain data pipelines internal and external teams rely on for making key decisions
you will build and improve our underlying data infrastructure (we currently use fivetran, gcp/bigquery, and dbt as our analytics stack)
requirements

you might be a fit for this role if...
you have pr","clients, making, creative, performance, build",data scientist
"data scientist, marketplace economics","Spotify
3.8","new york, ny","we are looking for a data scientist to join the marketplace economics team within the marketplace business group. the mission of the marketplace economics team is to use the science of economics in shaping efforts to improve spotify's business while strengthening creator sustainability. the team accomplishes this mission by combining the marketplace incentive structure of creators & intermediate agents (labels, publishers, governmental organizations and regulatory bodies) with internal and external data to test empirical hypotheses and build algorithmic measurement of performance indicators to improve the creator marketplace tools/services.in this role, using our petabytes of data, you will help build data products and surface insights to understand connections between artists and listeners, track performance of our products and their impact on artists' careers. you will join a centralized economics team of researchers and data scientists to build algorithmic insights and novel researc","improve, data, performance, team, build",data scientist
data scientist,"Datadog
4.1","new york, ny","about datadog:we're on a mission to build the best platform in the world for engineers to understand and scale their systems, applications, and teams. we operate at high scale-trillions of data points per day-providing always-on alerting, metrics visualization, logs, and application tracing for tens of thousands of companies. our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way. the opportunity:you will have a fantastic team of data engineers to support you, a collaborative environment to encourage your work, and the best technologies for performing data science at high scale in your toolkit. you will:* present the latest academic research papers to your team.* research and benchmark the latest algorithms that can be used for our particular use-cases.* apply machine learning algorithms and statistical techniques to build new product features.* deploy a new feature to production, instantly affecting customers with your work.* mentor oth","high, engineers, algorithms, latest, scale",data scientist
lead data scientist,"Aetna
3.3","new york, ny","description: its a new day in health care.

combining cvs health and aetna was a transformative moment for our company and our industry, establishing cvs health as the nations premier health innovation company. through our health services, insurance plans and community pharmacists, were pioneering a bold new approach to total health. as a cvs health colleague, youll be at the center of it all.

we offer a diverse work experience that empowers colleagues for career success. in addition to skill and experience, we also seek to attract and retain colleagues whose beliefs and behaviors are in alignment with our core values of collaboration, innovation, caring, integrity and accountability.

71546

fundamental components:
manages and is responsible for the successful delivery of the algorithms, statistical models and reporting tools to meet business needs.
acts as the analytic team lead for large and complex projects involving multiple resources and tasks, providing individual mentoring in ","components, youll, innovation, colleagues, health",data scientist
"data scientist, personalization","Hungryroot
5.0","new york, ny","about hungryroot

hungryroot is an online grocery service that delivers modern, healthy food with recipe and meal planning support. hungryroot's mission is to help people feel their best by making it easier to shop for, cook, and love healthy food. in addition to offering a curated selection of modern brands, hungryroot develops its own in-house line of innovative healthy products—like black bean brownie batter—and is challenging the traditional cpg model by building a customer-driven innovation platform to push outdated american grocery offerings into the 21st century.

about the opportunity

we're hiring a data scientist, personalization to advance the ways that hungryroot delivers personalized groceries and recipes to customers every week.

today hungryroot sends hundreds of thousands of groceries each week to customers across the country, each with their own flavor preferences, dietary restrictions, and food occasion needs. our algorithm takes in all of these signals and balances t","thousands, customers, modern, week, food",data scientist
principal data scientist,"Aetna
3.3","new york, ny","description: its a new day in health care.

combining cvs health and aetna was a transformative moment for our company and our industry, establishing cvs health as the nations premier health innovation company. through our health services, insurance plans and community pharmacists, were pioneering a bold new approach to total health. as a cvs health colleague, youll be at the center of it all.

we offer a diverse work experience that empowers colleagues for career success. in addition to skill and experience, we also seek to attract and retain colleagues whose beliefs and behaviors are in alignment with our core values of collaboration, innovation, caring, integrity and accountability.

the clinical products data science team helps supercharge cvs-aetnas clinical programs to improve member health and lower costs. given cvs-aetnas size, scope, and deep set of capacities, cvs-aetna is an unparalleled platform to make a difference in healthcare in the us and beyond. the clinical products ","products, innovation, colleagues, clinical, health",data scientist
data scientist,"Caserta
4.3","new york, ny","caserta is a best-in-class data analytics consulting and implementation firm known for its bold solutions to the toughest data challenges. leading organizations including world-class financial services, healthcare, media, ad-tech and universities, turn to caserta for the right answer to effect change and realize business goals. we specialize in transformative strategic consulting in the areas of business intelligence, data intelligence, and artificial intelligence. renowned for our advanced technical implementation of data architecture, data engineering, and data science, caserta provides meticulous customer service and is dedicated to solving our clients' toughest data challenges with the right answers.experience & qualifications:* experience building complex data pipelines, algorithms and models with the latest technology stacks:? python, r, scala, pyspark? aws, s3, ec2, emr? hadoop, hive, mapr, spark? aws, google cloud(gcp), azure* experience developing commercial data science solut","aws, consulting, class, intelligence, data",data scientist
"data scientist, decisions","Lyft
3.7","new york, ny","at lyft, our mission is to improve people's lives with the world's best transportation. to do this, we start with our own community by creating an open, inclusive, and diverse organization.

data science is at the heart of lyft's products and decision-making. as a member of the science team, you will work in a dynamic environment, where we embrace moving quickly to build the world's best transportation. data scientists take on a variety of problems ranging from shaping critical business decisions to building algorithms that power our internal and external products. we're looking for passionate, driven data scientists to take on some of the most interesting and impactful problems in ridesharing.

as a data scientist, decisions, you will leverage data and rigorous, analytical thinking to shape the company's product and business decisions. you will identify and scope opportunities, shape priorities, recommend solutions, design experiments, and measure impact. you will bring a quantitative","best, data, scientists, shape, decisions",data scientist
data scientist,"IBG LLC
4.3","new york, ny","job description
join the interactive brokers team!
interactive brokers has been at the forefront of the fintech space for over 40 years and we pride ourselves on being a technology company. we continue to challenge the status quo and push boundaries to offer the best trading platform with the most sophisticated features all for the lowest cost to our customers.

job description:

interactive brokers group (ibg) is looking for a junior data scientist. we are looking for someone to execute analytical tasks on large data sets to support decision makers and provide insight and reports about our platforms. the data scientist role will use data to help us better understand who our clients are, how they engage with our products and services and how we can better serve them by identifying interesting and useful trends in our data. you will make an impact by using your passion for data and analysis to generate actionable insights that we will use to improve the experience for our clients.

**fo","pride, use, clients, better, data",data scientist
data scientist,"CLEAR
3.0","new york, ny","clear's mission is to strengthen security and create frictionless experiences for consumers. we believe you are you and by using your biometrics - your fingerprints, eyes, and face - we keep you moving. imagine a world where you can do virtually everything you need to - breeze through the airport, buy a beer at the game, check-in at the doctor's office, access your office building, and more - without ever pulling out your wallet or phone. now in 60+ airports and other venues nationwide, you are your id, credit card, ticket, reservation and more with clear.we're defining and leading an entirely new industry, obsessing over our customers, and investing in great people to lead the way. recently named on cnbc's disruptor 50 list and winner of the sxsw interactive innovation award, we're working tirelessly to create frictionless customer experiences for our 4+ million members across the country.we're seeking an innovative and results-oriented data scientist to identify actionable insights w","credit, create, office, experiences, clear",data scientist
data science analyst,"GNY Insurance Companies
3.7","new york, ny","data science analyst

job details
level
experienced
job location
new york (home office) - new york, ny
position type
full time
education level
4 year degree
salary range
undisclosed
travel percentage
none
job shift
undisclosed
job category
information technology
description
greater new york mutual insurance company (""gny"") is an a+ rated, financially stable and growing property casualty insurance company with locations throughout the northeast. we are currently looking for a dynamic and highly motivated data science analyst for our new york office.

the purpose of this job is to assist in developing and maintaining advanced analytics tools by utilizing machine learning and predictive analytics techniques. it results in pricing enhancement, early fraud detection, loss control efficiency, customer experience improvement, better broker selection, and better claims reserving.

responsibilities
score gl and property renewal policies using underwriting score models - monthly
analyze loss con","office, new, insurance, job, york",data analyst
"senior data analyst, insights & analytics team [customer operations]","Squarespace
3.4","new york, ny","we’re looking for a senior data analyst who has a love of mentorship, data visualization, and generating actionable insights from raw data. in this role, you’ll have the opportunity to be an organizational influencer, who will generate insights with a good degree of autonomy, and partner with data science to grow deeper analytical skills. you will be joining the insights & analytics team, a team tasked with developing insights and reporting to support our customers and advisors’ needs. this team sits within the customer operations team, but is also connected to the product organization.

in this role, you will work mainly with customer operations stakeholders to set kpis and evaluate the effectiveness of current strategies and workflows. you will be involved in many aspects of data operations, from data auditing to building dashboards and analytical insights. for example, you will review the code of more junior analysts and organize coding workshops. you will build metrics to evaluate ","team, data, evaluate, operations, insights",data analyst
data scientist,"Andiamo
3.5","new york, ny","our client is the leading freight marketplace that's transforming the $700 billion trucking industry, connecting shippers to a national network of reliable carriers. fortune 500 companies such as anheuser-busch, unilever, and target rely on our client to handle their most important ftl freight needs. with instant pricing tools, guaranteed capacity, data-driven insights, and reliable service, our client is changing the world of transportation one load at a time. come leave a positive impact on the environment as we help reduce the carbon footprint caused by the 65 billion wasted miles on the road.

our client was named one of forbes' ""next billion-dollar company"" in 2018.

based in new york city, our client is backed by top vc firms including new enterprise associates (nea), canvas ventures, and lerer hippeau. the company has raised more than $78.5 million in funding.

the problems we solve everyday are real and require creativity, grit, and determination. we are building a culture that","creativity, target, reliable, billion, client",data scientist
data scientist,"infarm
4.2","new york, ny","passionate to eat better, infarm was founded in berlin in 2013 by osnat michaeli and the brothers erez and guy galonska. with the aim to share the goodness of own-grown produce with everyone, they developed a smart modular farming system, that allows distribution of farms throughout the urban environment, growing fresh produce in any available space and fulfilling any market demand.

today, with cutting edge r&d, patented technologies, and a leading multi-disciplinary team, infarm is growing a global farming network helping cities become self-sufficient in their food production while significantly improving the safety, quality, and environmental footprint of our food.

be part of the infarm (r)evolution and help people to take back ownership of their food.

who you are


at infarm we grow a smart worldwide infarm network that brings farming to the people. as the data scientist, you contribute to that mission by searching for patterns in financial data that can provide solutions to busi","growing, network, smart, produce, food",data scientist
data scientist for alpha insights,"Andiamo
3.5","new york, ny","the alpha insights team is looking for an entrepreneurial data scientist to contribute to its data-driven investment initiatives. alpha insights crowdsources the world's investment insights and through such data creation we are an integral part of the investment management process. we interact with people external to the firm to collect and analyze their investment insights through our web and mobile products.

data science in alpha insights has 3 missions: (1) make relevant data and metrics accessible to the team (2) perform analyses to guide business and product decisions and (3) build data-driven features that power our products.

you will take on the following responsibilities:
deliver metrics and analyses to all functions within alpha insights including product, design, and business units
write etls to convert structure/unstructured data into stable data assets
build visualizations to enable team members to extract relevant insights
apply statistical analysis and exploratory techn","metrics, analyses, data, investment, insights",data scientist
"data scientist, analytics","Bowery Farming
4.6","new york, ny","bowery is growing food for a better future by revolutionizing agriculture. our modern farming company combines the benefits of the best local farms with advances made possible by technology to grow produce you can feel good about eating. boweryos, our proprietary software system, uses vision systems, automation technology, and machine learning to monitor plants and all the variables that drive their growth 24/7. because we control the entire process from seed to store, bowery farms use zero pesticides, 95% less water, and are 100+ times more productive on the same footprint of land than traditional agriculture. bowery produce is currently available at select whole foods and foragers stores in the tristate area, and featured on the menus of tom colicchio’s new york restaurants craft and temple court. based in new york city, the company has raised over $170 million from leading investors including gv, general catalyst, ggv capital, first round capital, temasek and almanac.

about the rol","uses, food, york, produce, capital",data scientist
data scientist,"NorthOne
4.3","new york, ny",we make small businesses more successful through better banking.our company is looking for a data scientist to join our growing team as we enter a new phase of expansion,"better, successful, small, businesses, banking",data scientist
